Timestamp,Air-Force/Space-Force,EA Select,Tech/Non-Tech,CGPA (cumulative GPA),PFA,AFOQT (Academic Aptitude score)  ,RSS (Commanders Ranking),Year ,Rated/non-Rated,AS Class Size  (optional)*
,Air Force,EA,Tech,3.89,91.5,85.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.55,91.0,85.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.44,96.0,70.0,Top Third,2026,,
,Air Force,EA,Unknown,4.0,92.8,66.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.1,93.6,64.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.25,80.2,63.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.2,96.8,51.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.5,97.0,54.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.18,95.5,47.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.25,91.5,44.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.11,91.8,37.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.9,88.0,32.0,Top Third,2026,,
,Air Force,EA,Tech,3.1,94.6,35.0,Top Third,2026,,
,Space Force,Space EA,Non-Tech,4.0,96.1,29.0,Top Third,2026,,
,Air Force,EA,Unknown,3.4,94.0,27.5,Top Third,2026,,
,Air Force,EA,Non-Tech,3.83,97.8,39.0,Top Third,2026,,
,Air Force,EA,Unknown,3.68,97.5,40.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.5,96.0,39.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.4,92.1,58.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.3,93.0,58.0,Top Third,2026,,
,Air Force,Waiting,Non-Tech,3.588,96.0,84.0,Top Third,2026,,
,Air Force,EA,Unknown,3.328,91.5,87.0,Top Third,2026,,
,Air Force,EA,Tech,2.9,95.1,40.0,Top Third,2026,,
,Air Force,EA,Non-Tech,3.9,93.5,40.0,Middle Third,2026,,9
,Air Force,EA,Non-Tech,3.0,90.5,45.0,Middle Third,2026,,
,Air Force,Rejected,Non-Tech,3.3,92.0,60.0,Middle Third,2026,,
,Air Force,EA,Non-Tech,3.8,93.0,45.0,Middle Third,2026,,
,Air Force,EA,Non-Tech,3.36,93.4,64.0,Middle Third,2026,,
,Air Force,EA,Non-Tech,3.9,90.8,82.0,Middle Third,2026,,
,Air Force,Alt EA,Non-Tech,3.67,87.2,86.0,Middle Third,2026,,
,Air Force,Alt EA,Non-Tech,3.4,85.6,51.0,Middle Third,2026,,
,Air Force,EA,Tech,2.976,91.6,81.0,Middle Third,2026,,
,Air Force,EA,Non-Tech,3.41,95.8,73.0,Middle Third,2026,,
,Air Force,Non-select,Non-Tech,3.061,91.0,39.0,Middle Third,2026,,
,Air Force,EA,Tech,2.91,97.5,39.0,Middle Third,2026,,
,Air Force,Alt EA,Non-Tech,3.6,95.0,35.0,Middle Third,2026,,
,Space Force,Space EA,Non-Tech,3.76,95.0,30.0,Middle Third,2026,,
,Air Force,Alt EA,Non-Tech,3.51,96.0,85.0,Bottom Third,2026,,
,Air Force,Rejected,Unknown,3.26,96.0,63.0,Bottom Third,2026,,
,Air Force,EA,Non-Tech,3.82,94.5,60.0,Bottom Third,2026,,
,Space Force,Space EA,Non-Tech,3.44,90.7,91.0,Bottom Third,2026,,
,Air Force,EA,Tech,3.76,98.0,55.0,Bottom Third,2026,,
,Air Force,EA,Tech,2.9,90.5,76.0,Bottom Third,2026,,
,Space Force,Alt Space EA,Non-Tech,3.89,89.0,64.0,Bottom Third,2026,,
,Space Force,Space EA,Unknown,3.2,94.0,18.0,Bottom Third,2026,,
